"id","name","edible_portion","food_type","processing_method","ingredient_category","food_category","ingredient_category2","food_category2"
7545,"Orange chicken",100,"Dish","Baked in oven","Dish","Poultry dishes","Non-ingredient","Meat dishes"
7549,"Chicken fillet, oven baked",100,"Dish","Baked in oven","Dish","Poultry dishes","Non-ingredient","Meat dishes"
7600,"Frankfurter, boiled",100,"Dish","Boiled","Dish","Sausage dishes","Non-ingredient","Meat dishes"
7601,"Frankfurter, grilled",100,"Dish","Grilled, broiled","Dish","Sausage dishes","Non-ingredient","Meat dishes"
7602,"Frankfurter, fried",100,"Dish","Fried","Dish","Sausage dishes","Non-ingredient","Meat dishes"
7603,"Frankfurter-vegetable casserole",100,"Dish","Baked in oven","Dish","Sausage dishes","Non-ingredient","Meat dishes"
7604,"Frankfurter stroganoff",100,"Dish","Boiled","Dish","Sausage dishes","Non-ingredient","Meat dishes"
7605,"Borsch with frankfurters",100,"Dish","Boiled","Dish","Meat soups","Non-ingredient","Meat dishes"
7606,"Borsch with beef",100,"Dish","Boiled","Dish","Meat soups","Non-ingredient","Meat dishes"
7607,"Sausage, ring bologna, boiled",100,"Dish","Boiled","Dish","Sausage dishes","Non-ingredient","Meat dishes"
7608,"Sausage, ring bologna, grilled",100,"Dish","Grilled, broiled","Dish","Sausage dishes","Non-ingredient","Meat dishes"
7609,"Sausage, ring bologna, fried",100,"Dish","Fried","Dish","Sausage dishes","Non-ingredient","Meat dishes"
7610,"Groat sausage, fried",100,"Dish","Fried","Dish","Sausage dishes","Non-ingredient","Meat dishes"
7612,"Sausage, ring bologna, oven-baked, with cheese and mustard",100,"Dish","Baked in oven","Dish","Sausage dishes","Non-ingredient","Meat dishes"
7613,"Sausage gravy",100,"Dish","Boiled","Dish","Sausage dishes","Non-ingredient","Meat dishes"
7614,"Frankfurter gravy",100,"Dish","Boiled","Dish","Sausage dishes","Non-ingredient","Meat dishes"
7615,"Sausage soup",100,"Dish","Boiled","Dish","Meat soups","Non-ingredient","Meat dishes"
7616,"Frankfurter soup, light frankfurters",100,"Dish","Boiled","Dish","Meat soups","Non-ingredient","Meat dishes"
7617,"Sausage soup, fresh sausage, siskonmakkara soup",100,"Dish","Boiled","Dish","Meat soups","Non-ingredient","Meat dishes"
7618,"Sausage stew with potato and vegetables",100,"Dish","Boiled","Dish","Sausage dishes","Non-ingredient","Meat dishes"
7619,"Risotto, sausage and vegetable risotto",100,"Dish","Boiled","Dish","Meat casseroles","Non-ingredient","Meat dishes"
7620,"Sausage and mashed potato casserole, ring bologna, low-fat milk",100,"Dish","Baked in oven","Dish","Meat casseroles","Non-ingredient","Meat dishes"
7622,"Sausage hash, ring bologna, potato, without egg",100,"Dish","Fried","Dish","Sausage dishes","Non-ingredient","Meat dishes"
7623,"Omelette, country french omelette, egg, potato, sausage, onion",100,"Dish","Fried","Dish","Egg dishes","Non-ingredient","Egg dishes"
7624,"Omelette, sausage omelette",100,"Dish","Fried","Dish","Egg dishes","Non-ingredient","Egg dishes"
7628,"Egg and ham casserole",100,"Dish","Baked in oven","Dish","Meat casseroles","Non-ingredient","Meat dishes"
7630,"Omelette, ham omelette",100,"Dish","Fried","Dish","Egg dishes","Non-ingredient","Egg dishes"
7631,"Salad, italian salad without mayonnaise",100,"Dish","Mixed","Dish","Mixed salads","Non-ingredient","Prepared salads"
